3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: lw r1, r2
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
4: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
3: add r1, r2, r3
3: sub r1, r2, r3
3: add r3, r1, r1
6: mul r1, r2, r3
6: div r1, r2, r3
